Length	Diameter
226	5.1
241	5.4
255	5.6
293	5.9
308	6.2
326	6.6
377	7.1
410	7.4
482	7.8
489	8.1
547	8.4
608	8.8
594	9.2
694	9.6
694	9.8
814	10.2
884	10.7
893	10.9
1016	11.4
1073	11.8
1063	11.8
1153	12.2
1253	12.7
1351	13
1465	13.7
1631	14.2
1727	14.6
1821	15
1918	15.5
2150	16.1
237	5.1
255	5.1
277	5.5
273	5.6
291	5.9
298	6.4
344	6.8
385	7.4
470	7.6
446	7.9
485	8.2
558	8.7
619	9.1
648	9.3
714	9.7
777	10.1
836	10.5
879	10.8
932	11.2
1021	11.6
1060	11.8
1091	11.9
1203	12.4
1276	12.7
1409	13.4
1582	14.1
1650	14.3
1772	14.8
1892	15.3
2046	15.8
