Year	Round1	Final
2015	-4	-3
1993	1	2
2003	4	2
2017	7	12
2015	3	7
1998	1	9
2018	-2	-14
2009	0	-2
2005	5	6
1990	-2	-2
2018	1	-2
2016	0	3
2003	1	1
2001	0	4
2004	4	1
1989	2	1
1993	3	6
2006	1	-3
1991	-5	-5
2003	2	0
2000	0	5
2010	-3	3
1997	1	13
1991	-1	10
1991	1	5
2011	-1	-3
1990	1	9
1992	-1	-1
2017	4	1
2011	0	4
2007	-1	1
1990	0	0
1995	-1	0
2009	0	-2
1993	-3	-5
2008	0	10
1992	4	5
2015	-5	-1
2018	-3	-9
1990	3	0
2014	1	1
2013	-1	1
2002	-2	1
1991	1	-4
2005	0	2
2017	4	7
1992	-4	-6
2005	2	5
1989	1	3
1997	3	7
1998	3	8
1998	1	7
1994	4	9
2013	-6	-3
2008	-1	0
1998	3	-1
1991	2	-4
2012	-1	3
1998	1	-5
2005	0	0
2018	1	-5
1992	0	4
1995	-4	2
2015	0	-1
1990	2	12
1993	1	10
2010	-2	0
1999	0	3
1999	0	0
2009	-3	0
2015	0	-4
1990	0	4
1993	-3	6
1999	6	5
2006	1	5
1993	-3	6
2013	-4	-3
2015	1	-5
1997	3	11
1992	0	7
2014	-2	0
1991	-4	-9
1991	0	0
2016	4	11
2005	2	1
1995	-3	2
1999	4	7
1989	2	14
2015	-1	-11
1998	2	5
2014	0	5
2010	-5	-16
2001	-6	-8
2002	2	4
2012	-1	3
2009	-3	6
2015	-2	-14
2000	-2	3
2010	-1	-1
2000	2	10
